id,lon,lat,name,type,category
5009,28.08966,36.40479,A.T. AEROLIMENA RODOY DÏDEKANISOY,ASTYNOMIA,Police station
5010,28.15505,36.4133,A.T. IALYSOY RODOY DÏDEKANISOY,ASTYNOMIA,Police station
5011,28.22701,36.44323,E.D. LIMENA RODOY,ASTYNOMIA,Police station
5012,23.70233,38.04658,A.T. RODOY DÏDEKANISOY,ASTYNOMIA,Police station
5013,28.16217,36.2939,A.T. ARCHAGGELOY RODOY DÏDEKANISOY,ASTYNOMIA,Police station
5014,27.10308,36.81549,A.T. ANTIMACHEIAS KÏ DÏDEKANISOY,ASTYNOMIA,Police station
5015,23.64342,37.94301,ASTYN. YPOD. KÏ DÏDEKANISOY,ASTYNOMIA,Police station
5016,21.73445,38.24531,A.T. AFANTOY RODOY,ASTYNOMIA,Police station
5017,22.11058,38.03107,A.T. NOTIAS RODOY,ASTYNOMIA,Police station
5018,28.05959,36.08578,A.T. LINDIÏN RODOY,ASTYNOMIA,Police station
5019,29.58855,36.15066,A.T. MEGISTIS,ASTYNOMIA,Police station
5020,23.6895,37.92989,E.D. LIMENA KÏ,ASTYNOMIA,Police station
5021,26.99702,36.99545,E.D. LIMENA KALYMNOY,ASTYNOMIA,Police station
5022,21.44019,37.67916,A.T. AEROLIMENA KÏ (ANTIMACHEIA),ASTYNOMIA,Police station
5023,23.79738,38.02198,E.D. AEROLIMENA KARPATHOY,ASTYNOMIA,Police station
5024,21.26082,37.93793,E.D. LIMENA PATMOY,ASTYNOMIA,Police station
5025,22.43165,38.90151,EISAGGELIA PRÏTODIKÏN RODOY TMIMA POINIKOY MITRÏOY,EIS.PRÏTODIKÏN,Court buildings
5026,27.29176,36.89486,EISAGGELIA PRÏTODIKÏN KÏ TMIMA POINIKOY MITRÏOY,EIS.PRÏTODIKÏN,Court buildings
5027,28.22701,36.44323,K.L. RüDOY,LIMENAR×EIO,Oher public buildings
5028,21.64343,37.06517,L/S TÞLOY,LIMENAR×EIO,Oher public buildings
5029,22.10281,37.02756,L/S LßNDOY,LIMENAR×EIO,Oher public buildings
5030,22.62531,39.49562,L/S CHÜLKIS,LIMENAR×EIO,Oher public buildings
5031,29.57456,36.13769,L/S MEGßSTIS,LIMENAR×EIO,Oher public buildings
5032,22.38162,36.66606,L/S ASTYPÜLAIAS (L/CH KALýMNOY),LIMENAR×EIO,Oher public buildings
5033,26.99702,36.99545,L/CH KALýMNOY,LIMENAR×EIO,Oher public buildings
5034,22.72957,37.63584,L/S KÜSOY (L/CH KARPÜTHOY),LIMENAR×EIO,Oher public buildings
5035,23.60774,38.46961,L/S DIAFANßOY (L/CH KARPÜTHOY),LIMENAR×EIO,Oher public buildings
5036,22.74413,38.01033,L/CH KARPÜTHOY,LIMENAR×EIO,Oher public buildings
